# BRDF Data for aluminum in visible spectrum
#
# Data from "A Data-Driven Reflectance Model", 
#   Wojciech Matusik, Hanspeter Pfister, Matt Brand 
#   and Leonard McMillan, ACM Transactions on 
#   Graphics 22, 3(2003), 759-769.
#
# phi_in     theta_in     phi_out     theta_out     brdf
22.500000     180.000000     6.328125     0.000000     0.076809
22.500000     180.000000     7.031250     0.000000     0.076809
22.500000     180.000000     7.734375     0.000000     0.093608
22.500000     180.000000     8.437500     0.000000     0.093608
22.500000     180.000000     9.140625     0.000000     0.114161
22.500000     180.000000     9.843750     0.000000     0.138539
22.500000     180.000000     10.546875     0.000000     0.138539
22.500000     180.000000     11.250000     0.000000     0.164276
22.500000     180.000000     11.953125     0.000000     0.200309
22.500000     180.000000     12.656250     0.000000     0.200309
22.500000     180.000000     13.359375     0.000000     0.248311
22.500000     180.000000     14.062500     0.000000     0.298203
22.500000     180.000000     14.765625     0.000000     0.378936
22.500000     180.000000     15.468750     0.000000     0.480938
22.500000     180.000000     16.171875     0.000000     0.590889
22.500000     180.000000     16.875000     0.000000     0.774703
22.500000     180.000000     17.578125     0.000000     0.993037
22.500000     180.000000     18.281250     0.000000     1.338369
22.500000     180.000000     18.984375     0.000000     1.807200
22.500000     180.000000     19.687500     0.000000     2.488043
22.500000     180.000000     20.390625     0.000000     5.241208
22.500000     180.000000     21.093750     0.000000     11.529138
22.500000     180.000000     21.796875     0.000000     34.650673
22.500000     180.000000     22.500000     0.000000     365.582489
22.500000     180.000000     23.203125     0.000000     33.140621
22.500000     180.000000     23.906250     0.000000     11.940237
22.500000     180.000000     24.609375     0.000000     5.161787
22.500000     180.000000     25.312500     0.000000     2.378430
22.500000     180.000000     26.015625     0.000000     1.663154
22.500000     180.000000     26.718750     0.000000     1.212176
22.500000     180.000000     27.421875     0.000000     0.902426
22.500000     180.000000     28.125000     0.000000     0.663002
22.500000     180.000000     28.828125     0.000000     0.502236
22.500000     180.000000     29.531250     0.000000     0.386103
22.500000     180.000000     30.234375     0.000000     0.300794
22.500000     180.000000     30.937500     0.000000     0.235247
22.500000     180.000000     31.640625     0.000000     0.192060
22.500000     180.000000     32.343750     0.000000     0.157584
22.500000     180.000000     33.046875     0.000000     0.157584
22.500000     180.000000     33.750000     0.000000     0.127267
22.500000     180.000000     34.453125     0.000000     0.109644
22.500000     180.000000     35.156250     0.000000     0.109644
22.500000     180.000000     35.859375     0.000000     0.091929
22.500000     180.000000     36.562500     0.000000     0.079888
22.500000     180.000000     37.265625     0.000000     0.079888
22.500000     180.000000     37.968750     0.000000     0.069169
22.500000     180.000000     38.671875     0.000000     0.069169
22.500000     180.000000     39.375000     0.000000     0.060083
22.500000     180.000000     40.078125     0.000000     0.051932
